cons_id,cons_no,prov_id,registered_vote,total_vote_stations,zone
RBR_5,5,RBR,133041,223,อำเภอบางแพ
RET_1,1,RET,126204,248,อำเภอเมืองร้อยเอ็ด
RET_2,2,RET,136456,362,อำเภอเชียงขวัญ
RET_2,2,RET,136456,362,อำเภอโพธิ์ชัย
RET_2,2,RET,136456,362,"อำเภอโพนทอง (เฉพาะตำบลอุ่มเม่า, ตำบลนาอุดม, ตำบลคำนาดี)"
RET_2,2,RET,136456,362,อำเภอจังหาร
RET_2,2,RET,136456,362,"อำเภอธวัชบุรี (เฉพาะตำบลหนองพอก, ตำบลธวัชบุรี, ตำบลมะอึ)"
RET_3,3,RET,132389,298,อำเภอเมยวดี
RET_3,3,RET,132389,298,"อำเภอโพนทอง (เฉพาะตำบลแวง, ตำบลโคกกกม่วง, ตำบลสว่าง, ตำบลหนองใหญ่, ตำบลโนนชัยศรี, ตำบลพรมสวรรค์, ตำบลสระนกแก้ว, ตำบลวังสามัคคี, ตำบลโพธิ์ทอง)"
RET_3,3,RET,132389,298,อำเภอหนองพอก
RET_4,4,RET,129799,329,อำเภอเสลภูมิ
RET_4,4,RET,129799,329,"อำเภอโพนทอง (เฉพาะตำบลโคกสูง, ตำบลโพธิ์ศรีสว่าง)"
RET_4,4,RET,129799,329,"อำเภอทุ่งเขาหลวง (เฉพาะตำบลทุ่งเขาหลวง, ตำบลบึงงาม, ตำบลมะบ้า)"
RET_4,4,RET,129799,329,"อำเภอธวัชบุรี (เฉพาะตำบลบึงนคร, ตำบลธงธานี, ตำบลไพศาล)"
RET_5,5,RET,133547,342,"อำเภอทุ่งเขาหลวง (ยกเว้นตำบลทุ่งเขาหลวง, ตำบลบึงงาม, ตำบลมะบ้า)"
RET_5,5,RET,133547,342,"อำเภอธวัชบุรี (เฉพาะตำบลนิเวศน์, ตำบลหนองไผ่, ตำบลอุ่มเม้า)"
RET_5,5,RET,133547,342,อำเภอพนมไพร
RET_5,5,RET,133547,342,อำเภอหนองฮี (เฉพาะตำบลหนองฮี)
RET_5,5,RET,133547,342,"อำเภออาจสามารถ (เฉพาะตำบลโพนเมือง, ตำบลบ้านแจ้ง, ตำบลอาจสามารถ, ตำบลหน่อม, ตำบลหนองหมื่นถ่าน, ตำบลหนองขาม)"
RET_6,6,RET,130379,297,อำเภอโพนทราย
RET_6,6,RET,130379,297,อำเภอสุวรรณภูมิ
RET_6,6,RET,130379,297,อำเภอหนองฮี (ยกเว้นตำบลหนองฮี)
RET_7,7,RET,134249,311,อำเภอเกษตรวิสัย
RET_7,7,RET,134249,311,"อำเภอเมืองสรวง (เฉพาะตำบลคูเมือง, ตำบลกกกุง, ตำบลหนองหิน)"
RET_7,7,RET,134249,311,อำเภอปทุมรัตต์
